# recollida de punts 16/01/2015
const int THRESHOLD = 5;
const int SENSOR_COUNT = 6;<	
const unsigned long TIMEOUT_BETWEEN_HITS = 100000; // in millis

(6,6)
hit: {0:20 924:6 2124:7 1139:9 1744:5 1413:6 l}
hit: {0:17 987:5 2204:6 1205:6 2367:6 1431:5 l}
hit: {0:23 1124:5 2271:5 1342:6 2495:7 1496:6 l}
hit: {0:15 1118:6 2240:6 1267:6 2468:6 1482:7 l}
hit: {0:24 1076:6 2225:6 1293:8 2457:6 1445:5 l}
hit: {0:12 942:6 2081:6 1029:6 4469:6 1256:6 l}
hit: {0:20 1041:6 2176:6 1317:6 2379:6 1539:8 l}
hit: {0:14 1057:6 2193:5 1276:6 2332:5 1554:9 l}
hit: {0:15 950:6 2100:6 1105:6 5356:5 1394:7 l}
(6,18)
hit: {301:6 510:5 2303:6 0:7 1613:5 674:7 l}
hit: {300:8 511:6 2302:7 0:6 2962:5 876:9 l}
hit: {304:6 517:7 2339:7 0:7 2296:5 21:5 l}
hit: {368:7 581:6 2385:5 0:5 4310:5 955:10 l}
hit: {293:6 502:6 2315:7 0:6 1599:6 734:7 l}
hit: {362:7 506:5 1650:5 0:7 2371:5 85:5 l}
hit: {302:5 511:7 2157:5 0:8 1594:5 90:6 l}
hit: {293:7 502:6 2332:6 0:6 2354:6 81:5 l}
hit: {301:7 511:8 2294:6 0:10 2316:5 746:9 l}
hit: {232:5 510:6 1660:5 0:5 1617:5 20:5 l}
hit: {278:8 556:8 1693:5 42:6 1588:7 0:5 l}
hit: {367:6 512:6 2315:6 0:8 4138:5 824:7 l}
hit: {230:7 440:5 2248:7 0:8 1547:5 749:5 l}
(6,30)
hit: {1529:9 1408:10 3062:5 704:11 2683:5 0:17 l}
hit: {1568:6 1447:7 3145:6 820:11 2774:5 0:10 l}
hit: {1565:7 1311:6 3163:7 548:5 3246:5 0:13 l}
hit: {1689:9 1506:8 2301:5 797:8 2745:6 0:18 l}
hit: {1592:9 1401:7 3138:6 717:10 3288:5 0:16 l}
hit: {876:5 1405:7 3243:5 698:8 7452:6 0:13 l}
hit: {1715:10 1461:5 3252:6 769:6 6040:5 0:8 l}
(6,42)
hit: {1716:6 2057:9 2869:6 1817:5 2752:6 0:16 l}
hit: {1794:9 2062:5 9490:5 2606:5 3836:5 0:7 l}
hit: {1730:5 2061:5 9454:5 2615:5 3840:5 0:8 l}
hit: {1736:7 2073:11 9503:5 1444:6 2752:6 0:13 l}
hit: {1762:7 2098:11 2897:5 1853:6 2849:5 0:9 l}
hit: {1760:10 2037:10 9487:5 1441:5 2723:6 0:16 l}
hit: {1746:7 2025:6 2889:5 1471:5 2772:5 0:12 l}
hit: {1772:8 2113:9 2927:5 723:5 2807:6 0:5 l}
hit: {1706:5 1990:5 3659:5 1409:7 2743:7 0:16 l}
hit: {1776:7 2054:5 2927:5 1484:6 2808:5 0:5 l}
hit: {1714:5 2059:7 2866:5 872:5 2745:5 0:15 l}
hit: {1712:5 2056:10 2856:5 691:5 3803:6 0:15 l}
(18,6)
hit: {252:10 0:6 1067:6 153:5 755:5 766:5 l}
hit: {252:7 0:10 1997:5 285:7 822:5 833:5 l}
hit: {200:8 0:11 1082:5 163:8 769:6 780:8 l}
